periode,kategori,total,qty
2024-03,RANTANG,5390656.6,117
2024-03,REGULATOR,6285117,69
2024-03,REMOTE TV JOKER,66825,3
2024-03,RICE COOKER,40437124,113
2024-03,RING A MOP,4638880,71
2024-03,SAKLAR,258714,20
2024-03,SAPU,17144188,440
2024-03,SARINGAN,5798372,357
2024-03,SARUNG TANGAN,520749,75
2024-03,SEMPROTAN,653110,26
2024-03,SENDOK,14098466,978
2024-03,SENTER,1963662,32
2024-03,SEROKAN,1999955,88
2024-03,SETRIKA,4736060,28
2024-03,SHAKER,65550,1
2024-03,SIKAT,5235483,319
2024-03,SIKAT BAJU,148579,19
2024-03,SISIR,791997,131
2024-03,SKIMMER,94966,5
2024-03,SKINCARE,2346434,122
2024-03,SLASIBAN,859727,95
2024-03,SODET / SENDOK GORENG,2350854,120
2024-03,SORONG AIR,1197651,36
2024-03,SPATULA,31100,1
2024-03,SPONS,513228,83
2024-03,STATIONARY / ALAT TULIS,6573592,1016
2024-03,STIK LAMPU,236442,2
2024-03,STOP KONTAK,1451592,72
2024-03,SUMPIT,312625,44
2024-03,TAKARAN,779330,64
2024-03,TALAM,957358,41
2024-03,TAMPA,484859,59
2024-03,TAPLAK,174959,5
2024-03,TAS BEKAL,291990,12
2024-03,TATAKAN GELAS,70328,8
2024-03,TEKO,3436933,80
2024-03,TELENAN,1935047,78
2024-03,TEMPAT BUMBU,1162312,37
2024-03,TEMPAT MINYAK,685638,16
2024-03,TEMPAT ROTI,243428,2
2024-03,TEMPAT SABUN,568531,26
2024-03,TEMPAT SAMBAL,841812,91
2024-03,TEMPAT SENDOK,1779670,79
2024-03,TEMPAT TELUR,61625,5
2024-03,TEMPAT TISSUE,1200950,58
2024-03,TEMPAT TUSUK GIGI,78005,10
2024-03,TERMOS,19178561,137
2024-03,THINWAL,2190422,78
2024-03,TIMBAH,2210767,198
2024-03,TIMBANGAN,3686482,49
2024-03,TISSUE,473166,78
2024-03,TONG,7289260,150
2024-03,TOPLES,55855424.36,1945
2024-03,TUDUNG SAJI,2037982,67
2024-03,TUSUK GIGI,191062,50
2024-03,TUSUK SATE,14175,1
2024-03,TUTUP GELAS,288372,100
2024-03,TUTUP WAJAN,222675,6
2024-03,UMUM,29195762,4574
2024-03,WAJAN,760044,9
2024-02,ACC / PITA / KARET,3660020,506
2024-02,AMPIA,962300,4
2024-02,ASBAK,1189269,102
2024-02,AYAKAN,115530,9
2024-02,BABY BATHUB,967375,22
2024-02,BAKUL,1007502,82
2024-02,BANGKU / KURSI,33523824,436
2024-02,BASKOM,12722774.89,951
2024-02,BATRE,2933568,268
2024-02,BINGKAI,407951,7
2024-02,BLENDER,13030526,58
2024-02,BOTOL,14628510.75,744
2024-02,BURNER,1526710,37
2024-02,CAKE PAN,586800,5
2024-02,CANGKIR,3253734.44,509
2024-02,CELEMEK,143675,6
2024-02,CELENGAN,787000,64
2024-02,CENTONG NASI,316824,24
2024-02,CERET,5162271,48
2024-02,CERMIN,1748373,82
2024-02,CETAKAN,5249116,500
2024-02,CHOPER,3249024,28
2024-02,CLING WRAP,258000,10
2024-02,COBEK,629845,16
2024-02,CONTAINER,16097466,134
2024-02,CORONG,279453,54
2024-02,CUP,230700,18
2024-02,DISPENCER,11618552,56
2024-02,EMBER,1934309,59
2024-02,ESKAN,1214378,52
2024-02,GALON,328800,7
2024-02,GANTUNGAN HOOK,1092180,97
2024-02,GARPU,1497631,87
2024-02,GAS,883800,45
2024-02,GAYUNG,2578256,296
2024-02,GELAS,16967334.7,1740
2024-02,GEMBOK,1134375,62
2024-02,GILINGAN,122525,1
2024-02,GUNTING,2067322,219
2024-02,HAIR DRYER,551700,4
2024-02,HANGER,3850621,190
2024-02,JAM DINDING,2467668,44
2024-02,JEPITAN,2356327,139
2024-02,JUICER,3867240,11
2024-02,KAIN LAP,2831100,269
2024-02,KALO,3755195.96,1022
2024-02,KAPSTOCK / GANTUNGAN BAJU,2690179,141
2024-02,KEMOCENG,653500,22
2024-02,KERANJANG,6082439,286
2024-02,KESET,5074393,187
2024-02,KIPAS,29887328.8,162
2024-02,KNOP KOMPOR,62450,5
2024-02,KOCOKAN,442351,42
2024-02,KOMPOR GAS,24777048,74
2024-02,KOTAK,8413608,470
2024-02,KOTAK GABUS,117000,2
2024-02,KUALI,8478707,99
2024-02,KUAS,743763,92
2024-02,KUKUSAN,3211320,33
2024-02,LAMPU,12312733,354
2024-02,LEMARI,18050234,48
2024-02,LIGHTER,176040,45
2024-02,LOYANG,1324543,46
2024-02,LUMPANG,387260,5
2024-02,MAKANAN,266800,2
2024-02,MANGKOK,10387435,1230
2024-02,MANTEL,552025,9
2024-02,MEJA,6227066,43
2024-02,MIKA,117445,10
2024-02,MINUMAN,3391539,636
2024-02,MIXER,3338090,7
2024-02,MUG,5457593,265
2024-02,NAMPAN,2147167,123
2024-02,OBENG,48434,7
2024-02,OVEN,1999200,3
2024-02,PAN GORENG,5339887,45
2024-02,PANCI,14476990,138
2024-02,PANGGANGAN,1606505,46
2024-02,PAPERBAG,757500,96
2024-02,PARUTAN,871874,85
2024-02,PAYUNG,7870806,323
2024-02,PEELER,290088,31
2024-02,PEMBUKA KALENG/BOTOL,168665,10
2024-02,PEMISAH TELUR,5584,4
2024-02,PENTOL PANCI,85500,19
2024-02,PERASAN,163637,13
2024-02,PERLENGKAPAN ULTAH,2647468,1024
2024-02,PEWANGI,1007288,66
2024-02,PINSET,81689,20
2024-02,PIPET,254397,26
2024-02,PIRING,17630449.06,2479
2024-02,PISAU,3958255,277
2024-02,POMPA,2137526,39
2024-02,POT,5801032,565
2024-02,PRASMANAN,2099630,6
2024-02,PRESTO,453600,1
2024-02,RAK,18067288,231
2024-02,RAKET NYAMUK,1938992,33
2024-02,RANTANG,5675073,126
2024-02,REGULATOR,6634765,74
2024-02,REMOTE TV JOKER,22275,1
2024-02,RICE COOKER,49773055,125
2024-02,RING A MOP,2479600,35
2024-02,SAKLAR,202604,22
2024-02,SAPU,18423414,467
2024-02,SARINGAN,5050181,269
2024-02,SARUNG TANGAN,440016,70
2024-02,SEMPROTAN,470958,21
2024-02,SENDOK,12455406,958
2024-02,SENTER,1858107,29
2024-02,SEROKAN,2018427,101
2024-02,SETRIKA,7046805,44
2024-02,SHAKER,292249,3
2024-02,SIKAT,5743430,349
2024-02,SIKAT BAJU,153590,18
2024-02,SISIR,719864,124
2024-02,SKIMMER,50937,3
2024-02,SKINCARE,2163962,117
2024-02,SLASIBAN,939043,109
2024-02,SODET / SENDOK GORENG,1966127,96
2024-02,SORONG AIR,793165,26
2024-02,SPATULA,22978,2
2024-02,SPONS,723141,97
2024-02,STATIONARY / ALAT TULIS,8857868,1113
2024-02,STIK LAMPU,118221,1
2024-02,STOP KONTAK,1901033,94
2024-02,SUMPIT,559146,76
2024-02,TAKARAN,867662.75,60
2024-02,TALAM,1204732,41
2024-02,TAMPA,495798,56
2024-02,TAPLAK,192255,10
2024-02,TAS BEKAL,332880,20
2024-02,TATAKAN GELAS,70328,8
